"id","symbol","market_id","category","name"
"128667051","LiveHecateSeaWorms","128042496","Живые морские черви с Гекаты","Live Hecate Sea Worms"
"128667052","HelvetitjPearls","3231094528","Жемчуг с Хельветитч","Helvetitj Pearls"
"128667053","HIP41181Squid","3227995392","Протокальмар с HIP","HIP Proto-Squid"
"128667054","CoquimSpongiformVictuals","3223832576","Губковые продукты с Кокуима","Coquim Spongiform Victuals"
"128667055","AerialEdenApple","128083448","Райские яблоки с Эриала ","Eden Apples of Aerial"
"128667056","NeritusBerries","3228206080","Нерутские ягоды","Neritus Berries"
"128667057","OchoengChillies","3226719232","Перчик чили с Очоенга","Ochoeng Chillies"
"128667058","DeuringasTruffles","3229713408","Трюфели с Деуринги","Deuringas Truffles"
"128667059","HR7221Wheat","3226170880","Пшеница HR 7221","HR 7221 Wheat"
"128667060","JarouaRice","3224698112","Жаруйский рис","Jaroua Rice"
"128667061","BelalansRayLeather","3223537152","Кожа белаланских скатов","Belalans Ray Leather"
"128667062","DamnaCarapaces","3227751936","Панцири с Дамны","Damna Carapaces"
"128667063","RapaBaoSnakeSkins","3222875648","Змеиные шкуры с Рапа Бао","Rapa Bao Snake Skins"
"128667064","VanayequiRhinoFur","3227289856","Мех носорогов с Ванайеку","Vanayequi Ceratomorpha Fur"
"128667065","BastSnakeGin","128086776","Настойка из бастетовых змей","Bast Snake Gin"
"128667066","ThrutisCream","3226522368","Трутисские сливки","Thrutis Cream"
"128667067","WulpaHyperboreSystems","3221388032","Гипербольные системы вульпа","Wulpa Hyperbore Systems"
"128667068","AganippeRush","128012800","Аганиппийский кайф","Aganippe Rush"
"128667069","TerraMaterBloodBores","128051466","Кровяные усилители с Терра матер","Terra Mater Blood Bores"
"128667070","HolvaDuellingBlades","3222713088","Хольванские дуэльные клинки","Holva Duelling Blades"
"128667071","KamorinHistoricWeapons","3221669632","Каморинское историческое оружие","Kamorin Historic Weapons"
"128667072","GilyaSignatureWeapons","3226857216","Именное оружие из системы Гилья","Gilya Signature Weapons"
"128667073","DeltaPhoenicisPalms","128045312","Фениксовые пальмы с Дельты","Delta Phoenicis Palms"
"128667074","ToxandjiVirocide","3230258688","Токсанджийские вирициды","Toxandji Virocide"
"128667075","XiheCompanions","3224133120","Биоморфные спутники Xihe","Xihe Biomorphic Companions"
"128667076","SanumaMEAT","3230331136","Декоративное мясо с Касанумы","Sanuma Decorative Meat"
"128667077","EthgrezeTeaBuds","3229524992","Чайные бутоны Этгриза","Ethgreze Tea Buds"
"128667078","CeremonialHeikeTea","3227417856","Церемониальный чай Heike","Ceremonial Heike Tea"
"128667079","TanmarkTranquilTea","128057866","Успокаивающий чай Tanmark","Tanmark Tranquil Tea"
"128667080","AZCancriFormula42","3228400128","Формула 42 AZ Cancri","AZ Cancri Formula 42"
"128667081","KamitraCigars","3225450752","Сигара Kamitra","Kamitra Cigars"
"128667082","RusaniOldSmokey","3229255680","Старые папиросы Rusani","Rusani Old Smokey"
"128667083","YasoKondiLeaf","3223088640","Лист ясо Конди","Yaso Kondi Leaf"
"128667084","ChateauDeAegaeon","3228416768","Шато де Эгеон","Chateau De Aegaeon"
"128667085","WatersOfShintara","128666762","Воды Шинрарты","The Waters of Shintara"
"128667668","OphiuchiExinoArtefacts","3228939264","Артефакты офиух экзино","Ophiuch Exino Artefacts"
"128667669","BakedGreebles","3229378560","Печеные гриблы","Baked Greebles"
"128667670","CetiAepyornisEgg","3222560256","Яйцо эпиорниса","Aepyornis Egg"
"128667671","SaxonWine","3227986432","Саксонское вино","Saxon Wine"
"128667672","CentauriMegaGin","3228728832","Кентаврский мега-джин","Centauri Mega Gin"
"128667673","AnduligaFireWorks","3230243584","Андулигские фейерверки","Anduliga Fire Works"
"128667674","BankiAmphibiousLeather","3228346112","Кожа банкийских амфибий","Banki Amphibious Leather"
"128667675","CherbonesBloodCrystals","3229594624","Чербонские кровавые кристаллы","Cherbones Blood Crystals"
"128667676","MotronaExperienceJelly","3229750528","Мотронское желе","Motrona Experience Jelly"
"128667677","GeawenDanceDust","3230954752","Геавенская танцевальная пыль","Geawen Dance Dust"
"128667678","GerasianGueuzeBeer","3228047360","Герасианское пиво гез","Gerasian Gueuze Beer"
"128667679","HaidneBlackBrew","3226557696","Гайденовский черный напиток","Haiden Black Brew"
"128667680","HavasupaiDreamCatcher","3221438976","Хавасупайский ловец снов","Havasupai Dream Catcher"
"128667681","BurnhamBileDistillate","3230224384","Бернхемский желчный дистиллят","Burnham Bile Distillate"
"128667682","HIPOrganophosphates","3227036160","Мощные органофосфаты","HIP Organophosphates"
"128667683","JaradharrePuzzlebox","3230754816","Джарадхаррская головоломка","Jaradharre Puzzle Box"
"128667684","KorroKungPellets","3228726272","Корокунгские катышки","Koro Kung Pellets"
"128667685","LFTVoidExtractCoffee","3229028864","Кофе ""Экстракт пустоты""","Void Extract Coffee"
"128667686","HonestyPills","3229561344","Пилюли честности","Honesty Pills"
"128667687","NonEuclidianExotanks","3224135424","Неевклидовы экзобаки","Non Euclidian Exotanks"
"128667688","LTTHyperSweet","3224166400","Гиперсладости LTT","LTT Hyper Sweet"
"128667689","MechucosHighTea","3228398848","Мечукосский кайфочай","Mechucos High Tea"
"128667690","MedbStarlube","3228762368","Звездная смазка с Медба","Medb Starlube"
"128667691","MokojingBeastFeast","3229612800","Мокоджингское зверское яство","Mokojing Beast Feast"
"128667692","MukusubiiChitinOs","3221719296","Мукусубские хитинос","Mukusubii Chitin-os"
"128667693","MulachiGiantFungus","3228892672","Гигатские грибы с Мулачи","Mulachi Giant Fungus"
"128667694","NgadandariFireOpals","3226127872","Нгадандарийские огненные опалы","Ngadandari Fire Opals"
"128667695","TiegfriesSynthSilk","3227726848","Тигфрайский синтешелк","Tiegfries Synth Silk"
"128667696","UzumokuLowGWings","3226474496","Узумокские крылья для малой гравитации","Uzumoku Low-G Wings"
"128667697","VHerculisBodyRub","3228959232","Скраб с V Геркулеса","V Herculis Body Rub"
"128667698","WheemeteWheatCakes","3225032704","Уимитские пшеничные галеты","Wheemete Wheat Cakes"
"128667699","VegaSlimWeed","128149240","Водоросли для похудения с Веги","Vega Slimweed"
"128667700","AltairianSkin","128151032","Альтаирская кожа","Altairian Skin"
"128667701","PavonisEarGrubs","128117240","Павлинские ухочерви","Pavonis Ear Grubs"
"128667702","JotunMookah","128078840","Йотунская моока","Jotun Mookah"
"128667703","GiantVerrix","128121336","Гигант Веррикс","Giant Verrix"
"128667704","IndiBourbon","128118520","Инди-бурбон","Indi Bourbon"
"128667705","AroucaConventualSweets","128098040","Монастырские сладости Ароуки","Arouca Conventual Sweets"
"128667706","TauriChimes","128134648","Колокольчики с Тельца","Tauri Chimes"
"128667707","ZeesszeAntGlue","128125432","Зесский муравьиный клей","Zeessze Ant Grub Glue"
"128667708","PantaaPrayerSticks","3228824064","Пантаские молитвенные палочки","Pantaa Prayer Sticks"
"128667709","FujinTea","128134392","Фудзинский чай","Fujin Tea"
"128667710","ChameleonCloth","3223418880","Ткань-хамелеон","Chameleon Cloth"
"128667711","OrrerianViciousBrew","128166392","Оррерское жуткое пойло","Orrerian Vicious Brew"
"128667712","UszaianTreeGrub","128164856","Ушжаанский росток дерева","Uszaian Tree Grub"
"128667713","MomusBogSpaniel","128075256","Момусовский болотный спаниель","Momus Bog Spaniel"
"128667714","DisoMaCorn","128161016","Зерна дисо ма","Diso Ma Corn"
"128667715","LeestianEvilJuice","128639992","Леестийский сок зла","Leestian Evil Juice"
"128667716","BlueMilk","128639992","Лазурное молоко","Azure Milk"
"128667717","AlienEggs","128164088","Кожистые яйца","Leathery Eggs"
"128667718","AlyaBodilySoap","3221638400","Алийское мыло для тела","Alya Body Soap"
"128667719","VidavantianLace","3231082240","Видавантийский шнурок","Vidavantian Lace"
"128667760","TransgenicOnionHead","128057866","Луканская луковая головка","Lucan Onionhead"
"128668017","JaquesQuinentianStill","128667761","Дистиллятор Жака Квиненциана","Jaques Quinentian Still"
"128668018","SoontillRelics","3225348096","Реликты Сунтилла","Soontill Relics"
"128671119","Advert1","3227172352","Экспериментальные ультракомпактные процессоры","Ultra-Compact Processor Prototypes"
"128672121","TheHuttonMug","3228728832","Кружка Hutton","The Hutton Mug"
"128672122","SothisCrystallineGold","128668557","Кристаллическое золото системы Sothis","Sothis Crystalline Gold"
"128672316","MasterChefs","128123640","Мастер-шефы","Master Chefs"
"128672431","PersonalGifts","128081912","Персональные подарки","Festive Gifts"
"128672432","CrystallineSpheres","128059402","Прозрачные сферы","Crystalline Spheres"
"128672812","OnionHeadA","3226977024","Луковая головка, сорт альфа","Onionhead Alpha Strain"
"128673069","OnionHeadB","3223027200","Луковая головка, сорт бета","Onionhead Beta Strain"
"128682050","GalacticTravelGuide","128673074","Путеводитель галактического путешественника","Galactic Travel Guide"
"128727921","AnimalEffigies","3228463360","Кромская серебряная дурь","Crom Silver Fesh"
"128732551","ShansCharisOrchid","128107768","Орхидея Shan Charis","Shan's Charis Orchid"
"128748428","BuckyballBeerMats","128745551","Подставка под пиво Buckyball","Buckyball Beer Mats"
"128793113","HarmaSilverSeaRum","3221575424","Ром «Серебряное море Harma»","Harma Silver Sea Rum"
"128793114","PlatinumAloy","3223779840","Платиновый сплав","Platinum Alloy"
"128913661","Nanomedicines","3226651904","Medicines","Nanomedicines"
"128922524","Duradrives","3223453184","Дюрадрайвы","Duradrives"
"128958679","ApaVietii","128958681","Apa Vietii","Apa Vietii"
"129002574","ClassifiedExperimentalEquipment","128986325","Classified Experimental Equipment","Classified Experimental Equipment"
