"id","symbol","market_id","category","name"
"128667063","RapaBaoSnakeSkins","3222875648","Rapa-Bao-Schlangenhäute","Rapa Bao Snake Skins"
"128667064","VanayequiRhinoFur","3227289856","Vanayequi-Ceratomorpha-Fell","Vanayequi Ceratomorpha Fur"
"128667065","BastSnakeGin","128086776","Bast Snake Gin","Bast Snake Gin"
"128667066","ThrutisCream","3226522368","Thrutis Cream","Thrutis Cream"
"128667067","WulpaHyperboreSystems","3221388032","Wulpa-Superbohrer-Systeme","Wulpa Hyperbore Systems"
"128667068","AganippeRush","128012800","Aganippe-Hirnhetzer","Aganippe Rush"
"128667069","TerraMaterBloodBores","128051466","Terra-Mater-Berserker","Terra Mater Blood Bores"
"128667070","HolvaDuellingBlades","3222713088","Holva-Duellschwerter","Holva Duelling Blades"
"128667071","KamorinHistoricWeapons","3221669632","Histor. Kamorin-Waffen","Kamorin Historic Weapons"
"128667072","GilyaSignatureWeapons","3226857216","Gilya-Signaturwaffen","Gilya Signature Weapons"
"128667073","DeltaPhoenicisPalms","128045312","Delta-Phönix-Palmen","Delta Phoenicis Palms"
"128667074","ToxandjiVirocide","3230258688","Toxandji Virocide","Toxandji Virocide"
"128667075","XiheCompanions","3224133120","Xihe Biomorphic Companions","Xihe Biomorphic Companions"
"128667076","SanumaMEAT","3230331136","Sanuma-Dekorfleisch","Sanuma Decorative Meat"
"128667077","EthgrezeTeaBuds","3229524992","Ethgreze-Teeknospen","Ethgreze Tea Buds"
"128667078","CeremonialHeikeTea","3227417856","Heike-Zeremonientee","Ceremonial Heike Tea"
"128667079","TanmarkTranquilTea","128057866","Tanmark-Besänftigungstee","Tanmark Tranquil Tea"
"128667080","AZCancriFormula42","3228400128","AZ Cancri Formel 42","AZ Cancri Formula 42"
"128667081","KamitraCigars","3225450752","Kamitra-Zigarren","Kamitra Cigars"
"128667082","RusaniOldSmokey","3229255680","Rusani Old Smokey","Rusani Old Smokey"
"128667083","YasoKondiLeaf","3223088640","Yaso-Kondi-Blätter","Yaso Kondi Leaf"
"128667084","ChateauDeAegaeon","3228416768","Chateau De Aegaeon","Chateau De Aegaeon"
"128667085","WatersOfShintara","128666762","Shinrarta-Wasser","The Waters of Shintara"
"128667668","OphiuchiExinoArtefacts","3228939264","Ophiuch-Exino-Artefakte","Ophiuch Exino Artefacts"
"128667669","BakedGreebles","3229378560","Gebackene Greebles","Baked Greebles"
"128667670","CetiAepyornisEgg","3222560256","Aepyornis-Eier","Aepyornis Egg"
"128667671","SaxonWine","3227986432","Sachsenwein","Saxon Wine"
"128667672","CentauriMegaGin","3228728832","Centauri Mega Gin","Centauri Mega Gin"
"128667673","AnduligaFireWorks","3230243584","Anduliga-Feuerwerk","Anduliga Fire Works"
"128667674","BankiAmphibiousLeather","3228346112","Banki-Amphibienleder","Banki Amphibious Leather"
"128667675","CherbonesBloodCrystals","3229594624","Cherbones-Blutkristalle","Cherbones Blood Crystals"
"128667676","MotronaExperienceJelly","3229750528","Motrona-Erfahrungsgel","Motrona Experience Jelly"
"128667677","GeawenDanceDust","3230954752","Geawen-Tanzstaub","Geawen Dance Dust"
"128667678","GerasianGueuzeBeer","3228047360","Gersianisches Gueuze-Bier","Gerasian Gueuze Beer"
"128667679","HaidneBlackBrew","3226557696","Haiden-Schwarzbier","Haiden Black Brew"
"128667680","HavasupaiDreamCatcher","3221438976","Havasupai-Traumfänger","Havasupai Dream Catcher"
"128667681","BurnhamBileDistillate","3230224384","Burnham-Körpersaftdestillat","Burnham Bile Distillate"
"128667682","HIPOrganophosphates","3227036160","HIP-Organophosphate","HIP Organophosphates"
"128667683","JaradharrePuzzlebox","3230754816","Jaradharre Puzzle-Box","Jaradharre Puzzle Box"
"128667684","KorroKungPellets","3228726272","Koro-Kung-Pellets","Koro Kung Pellets"
"128667685","LFTVoidExtractCoffee","3229028864","Weltraumvakuum-Kaffee","Void Extract Coffee"
"128667686","HonestyPills","3229561344","Ehrlichkeitspillen","Honesty Pills"
"128667687","NonEuclidianExotanks","3224135424","Nichteuklidische Exotanks","Non Euclidian Exotanks"
"128667688","LTTHyperSweet","3224166400","LTT-Hypersüße","LTT Hyper Sweet"
"128667689","MechucosHighTea","3228398848","Mechucos-High-Tee","Mechucos High Tea"
"128667690","MedbStarlube","3228762368","Medb-Sternschmiere","Medb Starlube"
"128667691","MokojingBeastFeast","3229612800","Mokojing Monstermüsli","Mokojing Beast Feast"
"128667692","MukusubiiChitinOs","3221719296","Mukusubii Chitin-os","Mukusubii Chitin-os"
"128667693","MulachiGiantFungus","3228892672","Mulachi-Riesenpilz","Mulachi Giant Fungus"
"128667694","NgadandariFireOpals","3226127872","Ngadandari-Feueropale","Ngadandari Fire Opals"
"128667695","TiegfriesSynthSilk","3227726848","Tiegfries-Synthetikseide","Tiegfries Synth Silk"
"128667696","UzumokuLowGWings","3226474496","Uzumoku Leichtkraftflügel","Uzumoku Low-G Wings"
"128667697","VHerculisBodyRub","3228959232","V Herculis Körperschrubber","V Herculis Body Rub"
"128667698","WheemeteWheatCakes","3225032704","Wheemete Weizenküchlein","Wheemete Wheat Cakes"
"128667699","VegaSlimWeed","128149240","Vega-Schlankkraut","Vega Slimweed"
"128667700","AltairianSkin","128151032","Altair-Haut","Altairian Skin"
"128667701","PavonisEarGrubs","128117240","Pavonis-Ohrenlarven","Pavonis Ear Grubs"
"128667702","JotunMookah","128078840","Jotun Mookah","Jotun Mookah"
"128667703","GiantVerrix","128121336","Riesen-Verrix","Giant Verrix"
"128667704","IndiBourbon","128118520","Indi Bourbon","Indi Bourbon"
"128667705","AroucaConventualSweets","128098040","Arouca-Klosterbonbons","Arouca Conventual Sweets"
"128667706","TauriChimes","128134648","Tauri-Glockenspiel","Tauri Chimes"
"128667707","ZeesszeAntGlue","128125432","Zeessze-Ameisenkleber","Zeessze Ant Grub Glue"
"128667708","PantaaPrayerSticks","3228824064","Pantaa-Weihrauchstöcke","Pantaa Prayer Sticks"
"128667709","FujinTea","128134392","Fujin-Tee","Fujin Tea"
"128667710","ChameleonCloth","3223418880","Chamäleon-Kleidung","Chameleon Cloth"
"128667711","OrrerianViciousBrew","128166392","Orrerianisches Immerwach","Orrerian Vicious Brew"
"128667712","UszaianTreeGrub","128164856","Uszaian-Baumlarven","Uszaian Tree Grub"
"128667713","MomusBogSpaniel","128075256","Momus-Sumpfspaniel","Momus Bog Spaniel"
"128667714","DisoMaCorn","128161016","Diso-Ma-Mais","Diso Ma Corn"
"128667715","LeestianEvilJuice","128639992","Leesti-Teufelssaft","Leestian Evil Juice"
"128667716","BlueMilk","128639992","Azurmilch","Azure Milk"
"128667717","AlienEggs","128164088","Ledrige Eier","Leathery Eggs"
"128667718","AlyaBodilySoap","3221638400","Alya-Körperseife","Alya Body Soap"
"128667719","VidavantianLace","3231082240","Vidava-Spitze","Vidavantian Lace"
"128667760","TransgenicOnionHead","128057866","Lucan Onionhead","Lucan Onionhead"
"128668017","JaquesQuinentianStill","128667761","Jaques Quinent-Destille","Jaques Quinentian Still"
"128668018","SoontillRelics","3225348096","Soontill-Relikte","Soontill Relics"
"128671119","Advert1","3227172352","Ultrakompakte Prozessorprototypen","Ultra-Compact Processor Prototypes"
"128672121","TheHuttonMug","3228728832","Hutton-Becher","The Hutton Mug"
"128672122","SothisCrystallineGold","128668557","Sothis-Kristallingold","Sothis Crystalline Gold"
"128672316","MasterChefs","128123640","Master Chefs","Master Chefs"
"128672431","PersonalGifts","128081912","Persönliche Geschenke","Festive Gifts"
"128672432","CrystallineSpheres","128059402","Kristallkugeln","Crystalline Spheres"
"128672812","OnionHeadA","3226977024","Onionhead (Alpha)","Onionhead Alpha Strain"
"128673069","OnionHeadB","3223027200","Onionhead (Beta)","Onionhead Beta Strain"
"128682050","GalacticTravelGuide","128673074","Galaktischer Reiseführer","Galactic Travel Guide"
"128727921","AnimalEffigies","3228463360","Crom Silver Fesh","Crom Silver Fesh"
"128732551","ShansCharisOrchid","128107768","Shans Charis-Orchidee","Shan's Charis Orchid"
"128748428","BuckyballBeerMats","128745551","Buckyball-Bierdeckel","Buckyball Beer Mats"
"128793113","HarmaSilverSeaRum","3221575424","Harma Silberseerum","Harma Silver Sea Rum"
"128793114","PlatinumAloy","3223779840","Platinlegierung","Platinum Alloy"
"128913661","Nanomedicines","3226651904","Medicines","Nanomedicines"
"128922524","Duradrives","3223453184","Duradrives","Duradrives"
"128958679","ApaVietii","128958681","Apa Vietii","Apa Vietii"
"129002574","ClassifiedExperimentalEquipment","128986325","Classified Experimental Equipment","Classified Experimental Equipment"
